,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
715,35620,"New York-Newark-Jersey City, NY-NJ-PA",4,NY,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,13860,3.9,1.509,1.4,0,0,65.4,136040,1.9,34.4,47.29,62.54,80.79,100.92,71540,98360,130070,168040,209920,0,0
716,35840,"North Port-Sarasota-Bradenton, FL",4,FL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,0,0,0,0,0,0,50.36,104740,8.2,30.15,40.92,48.33,57.03,78.82,62720,85120,100520,118620,163950,0,0
717,36260,"Ogden-Clearfield, UT",4,UT,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,240,19.2,0.866,0.8,0,0,41.64,86610,8.5,18.81,28.61,40.89,48.66,58.53,39120,59510,85050,101200,121750,0,0
718,36420,"Oklahoma City, OK",4,OK,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,930,17.3,1.488,1.38,0,0,42.46,88310,6.1,24.98,30.27,34.51,53.88,68.75,51950,62970,71780,112070,143000,0,0
719,36500,"Olympia-Tumwater, WA",4,WA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,0,0,0,0,0,0,70.81,147280,6.3,37.09,50.31,66.22,77.99,105.67,77150,104640,137750,162220,219800,0,0
720,36540,"Omaha-Council Bluffs, NE-IA",4,NE,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,920,6.2,1.953,1.81,0,0,44.02,91560,1.4,27.73,37.19,41.61,50.14,58.26,57680,77360,86540,104280,121180,0,0
721,36740,"Orlando-Kissimmee-Sanford, FL",4,FL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,1110,8.2,0.858,0.8,0,0,44,91520,2.2,27.5,32,39.35,53.44,66.08,57190,66560,81850,111160,137440,0,0
722,36780,"Oshkosh-Neenah, WI",4,WI,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,60,13.3,0.642,0.59,0,0,48.41,100690,3.5,28.56,39.98,47.5,59.25,65.45,59400,83160,98790,123240,136130,0,0
723,37100,"Oxnard-Thousand Oaks-Ventura, CA",4,CA,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,350,6.5,1.114,1.03,0,0,52.83,109880,4.5,28.41,35.53,49.12,62.5,79.05,59090,73910,102170,130000,164420,0,0
724,37340,"Palm Bay-Melbourne-Titusville, FL",4,FL,0,Cross-industry,cross-industry,1235,15-2051,Data Scientists,detailed,150,17.4,0.639,0.59,0,0,51.52,107150,3.2,30.83,37.24,49.36,55.28,79.57,64130,77450,102680,114990,165510,0,0
